subid,AGE
369,10.82
370,8.04
371,7.32
372,8.64
373,13.90
374,16.95
375,10.02
376,7.43
377,7.75
378,8.79
379,10.18
380,10.96
381,9.05
382,11.08
383,9.67
384,8.7
385,15.17
386,7.77
387,9.87
388,9.39
389,11.08
390,8.86
391,7.58
392,8.48
393,7.94
394,16.76
395,10.55
396,7.15
397,10.80
398,14.47
399,9.28
400,8.81
401,11.78
402,16.42
403,10.62
404,9.50
405,11.34
406,16.04
407,16.50
408,10.27
409,11.02
410,7.24
411,15.47
412,6.84
413,11.13
414,13.10
415,8.38
416,10.35
417,7.94
418,8.54
419,7.75
420,8.58
421,9.29
422,15.47
423,10.74
424,15.32
425,8.45
426,8.09
427,9.72
428,7.72
429,12.58
430,12.45
431,17.24
432,11.58
433,8.07
434,8.51
435,11.09
436,13.33
437,7.79
438,6.03
439,15.50
440,14.56
441,10.83
442,8.43
443,11.43
444,8.87
445,8.60
446,11.28
447,12.74
448,15.18
449,8.85
450,8.09
451,8.09
452,11.83
453,12.2
454,9.32
455,12.72
456,15.33
457,13.94
458,6.52
459,12.18
460,16.53
461,9.6
462,6.98
463,9.59
464,7.74
465,15.42
466,14.64
467,16.03
468,8.1
469,6.89
470,13.44
471,9.90
472,7.52
473,7.52
474,18.45
